year,state_fips,state_abbr,state_name,population_total,population_adult_18_plus,population_male,population_female,education_bachelors_or_higher_25_plus,race_white_alone,race_black_alone,race_asian_alone,ethnicity_hispanic_or_latino,ethnicity_not_hispanic_or_latino,population_density_per_sq_mile
1988,33,NH,New Hampshire,1071523.6,,,,,,,,,,119.68786895500216
1988,34,NJ,New Jersey,7657115.0,,,,,,,,,,1041.1865568340354
1988,35,NM,New Mexico,1472634.0,,,,,,,,,,12.140613851076871
1988,36,NY,New York,17903978.4,,,,,,,,,,379.91398451823176
1988,37,NC,North Carolina,6479262.8,,,,,,,,,,133.26905249526357
1988,38,ND,North Dakota,641583.4,,,,,,,,,,9.298202339683018
1988,39,OH,Ohio,10837218.0,,,,,,,,,,265.2235681776299
1988,40,OK,Oklahoma,3121526.0,,,,,,,,,,45.50666434190754
1988,41,OR,Oregon,2800477.8,,,,,,,,,,29.17528762186027
1988,42,PA,Pennsylvania,11878093.4,,,,,,,,,,265.47556137649275
1988,44,RI,Rhode Island,992202.0,,,,,,,,,,959.7527592110737
1988,45,SC,South Carolina,3413726.4,,,,,,,,,,113.56110802476323
1988,46,SD,South Dakota,694956.8,,,,,,,,,,9.166965216129586
1988,47,TN,Tennessee,4819972.0,,,,,,,,,,116.89059510269213
1988,48,TX,Texas,16435046.2,,,,,,,,,,62.9136723103026
1988,49,UT,Utah,1670487.4,,,,,,,,,,20.32974474020934
1988,50,VT,Vermont,552497.6,,,,,,,,,,59.94553341449071
1988,51,VA,Virginia,6019250.0,,,,,,,,,,152.42431708816062
1988,53,WA,Washington,4719784.8,,,,,,,,,,71.02171196613915
1988,54,WV,West Virginia,1824710.4,,,,,,,,,,75.90874694912807
1988,55,WI,Wisconsin,4854568.6,,,,,,,,,,89.63747788868822
1988,56,WY,Wyoming,456781.8,,,,,,,,,,4.704573361207599
1992,01,AL,Alabama,3937400.0,,,,,,,,,,77.74458178078808
1992,02,AK,Alaska,698100.0,,,,,,,,,,1.2233612046243791
1992,04,AZ,Arizona,3693800.0,,,,,,,,,,32.517539646432276
1992,05,AR,Arkansas,2584600.0,,,,,,,,,,49.669955960817504
1992,06,CA,California,24382500.0,,,,,,,,,,156.51959227938104
1992,08,CO,Colorado,3806000.0,,,,,,,,,,36.72260318680024
1992,09,CT,Connecticut,3469300.0,,,,,,,,,,716.4481781610621
1992,10,DE,Delaware,728200.0,,,,,,,,,,373.71570509201763
1992,11,DC,District of Columbia,92100.0,,,,,,,,,,1508.5995085995087
1992,12,FL,Florida,11594000.0,,,,,,,,,,216.20609584080188
1992,13,GA,Georgia,6462100.0,,,,,,,,,,112.35798766515474
1992,15,HI,Hawaii,476400.0,,,,,,,,,,74.1752210543033
1992,16,ID,Idaho,1476800.0,,,,,,,,,,17.86960608457183
1992,17,IL,Illinois,11633400.0,,,,,,,,,,209.5393409058856
1992,18,IN,Indiana,7077600.0,,,,,,,,,,197.55424186438327
1992,19,IA,Iowa,3517700.0,,,,,,,,,,62.976740838636005
1992,20,KS,Kansas,3023200.0,,,,,,,,,,36.97709553182828
1992,21,KY,Kentucky,4684800.0,,,,,,,,,,118.64356129233553
1992,22,LA,Louisiana,3850400.0,,,,,,,,,,89.1215839310803
1992,23,ME,Maine,1534100.0,,,,,,,,,,49.73912975814223
1992,24,MD,Maryland,4846000.0,,,,,,,,,,499.22787599451533
1992,25,MA,Massachusetts,6372600.0,,,,,,,,,,816.9937154329582
1992,26,MI,Michigan,10586000.0,,,,,,,,,,187.2339221314882
1992,27,MN,Minnesota,5592500.0,,,,,,,,,,70.23394402433152
1992,28,MS,Mississippi,2165600.0,,,,,,,,,,46.151941243651606
1992,29,MO,Missouri,6034800.0,,,,,,,,,,87.78973755599236
1992,30,MT,Montana,962100.0,,,,,,,,,,6.610290369079699
1992,31,NE,Nebraska,1987100.0,,,,,,,,,,25.86555767540346
1992,32,NV,Nevada,1424800.0,,,,,,,,,,12.97854513861119
1992,33,NH,New Hampshire,1528600.0,,,,,,,,,,170.74274097613556
1992,34,NJ,New Jersey,7536400.0,,,,,,,,,,1024.7721716239112
1992,35,NM,New Mexico,972800.0,,,,,,,,,,8.01990797056674
1992,36,NY,New York,16645900.0,,,,,,,,,,353.2181537312419
1992,37,NC,North Carolina,6696700.0,,,,,,,,,,137.74142080562493
1992,38,ND,North Dakota,732200.0,,,,,,,,,,10.611471171348738
1992,39,OH,Ohio,12933200.0,,,,,,,,,,316.51937351033473
1992,40,OK,Oklahoma,3316900.0,,,,,,,,,,48.35489275299104
1992,41,OR,Oregon,3462900.0,,,,,,,,,,36.07638078964238
1992,42,PA,Pennsylvania,12845900.0,,,,,,,,,,287.1060530544648
1992,44,RI,Rhode Island,1165400.0,,,,,,,,,,1127.286445284917
1992,45,SC,South Carolina,3305700.0,,,,,,,,,,109.96749909350082
1992,46,SD,South Dakota,883800.0,,,,,,,,,,11.657938821543048
1992,47,TN,Tennessee,5421800.0,,,,,,,,,,131.4857074953498
1992,48,TX,Texas,14570000.0,,,,,,,,,,55.77423965873056
1992,49,UT,Utah,3161600.0,,,,,,,,,,38.47650749753985
1992,50,VT,Vermont,740100.0,,,,,,,,,,80.30023891518185
1992,51,VA,Virginia,6493800.0,,,,,,,,,,164.44125602144743
1992,53,WA,Washington,6182000.0,,,,,,,,,,93.02462760053642
1992,54,WV,West Virginia,2087000.0,,,,,,,,,,86.8201084856152
1992,55,WI,Wisconsin,5613600.0,,,,,,,,,,103.65265945071623
1992,56,WY,Wyoming,564400.0,,,,,,,,,,5.8129750464347945
1996,01,AL,Alabama,3757400.0,,,,,,,,,,74.19045349294791
1996,02,AK,Alaska,600000.0,,,,,,,,,,1.0514492519332868
1996,04,AZ,Arizona,3809700.0,,,,,,,,,,33.53783929585063
1996,05,AR,Arkansas,2619000.0,,,,,,,,,,50.33104335734003
1996,06,CA,California,19632200.0,,,,,,,,,,126.02579471125867
1996,08,CO,Colorado,3702100.0,,,,,,,,,,35.72011278451213
1996,09,CT,Connecticut,3101000.0,,,,,,,,,,640.3902229491406
1996,10,DE,Delaware,661700.0,,,,,,,,,,339.587588656122
1996,11,DC,District of Columbia,108000.0,,,,,,,,,,1769.0417690417692
1996,12,FL,Florida,10868500.0,,,,,,,,,,202.67689776140722
1996,13,GA,Georgia,6405400.0,,,,,,,,,,111.37213199894495
1996,15,HI,Hawaii,425000.0,,,,,,,,,,66.17226899260895
1996,16,ID,Idaho,1546000.0,,,,,,,,,,18.706941364266015
1996,17,IL,Illinois,10614900.0,,,,,,,,,,191.19424671909204
1996,18,IN,Indiana,6827200.0,,,,,,,,,,190.56492597158888
1996,19,IA,Iowa,3310100.0,,,,,,,,,,59.26011594222618
1996,20,KS,Kansas,2812000.0,,,,,,,,,,34.39388483577042
1996,21,KY,Kentucky,4549700.0,,,,,,,,,,115.22212491712325
1996,22,LA,Louisiana,3547500.0,,,,,,,,,,82.11064278919264
1996,23,ME,Maine,1308100.0,,,,,,,,,,42.41167827170709
1996,24,MD,Maryland,4167700.0,,,,,,,,,,429.3503959517832
1996,25,MA,Massachusetts,6217200.0,,,,,,,,,,797.0707917631403
1996,26,MI,Michigan,9767300.0,,,,,,,,,,172.75362626439494
1996,27,MN,Minnesota,5341300.0,,,,,,,,,,67.07922489354706
1996,28,MS,Mississippi,2087100.0,,,,,,,,,,44.47899730773239
1996,29,MO,Missouri,5803900.0,,,,,,,,,,84.43077778902764
1996,30,MT,Montana,922700.0,,,,,,,,,,6.339585202733436
1996,31,NE,Nebraska,1907500.0,,,,,,,,,,24.82942542691968
1996,32,NV,Nevada,1553100.0,,,,,,,,,,14.14723361508776
1996,33,NH,New Hampshire,1373900.0,,,,,,,,,,153.46294114033276
1996,34,NJ,New Jersey,6841800.0,,,,,,,,,,930.3229982241488
1996,35,NM,New Mexico,888100.0,,,,,,,,,,7.321628565645891
1996,36,NY,New York,14410900.0,,,,,,,,,,305.7925069600054
