year,state_fips,state_abbr,state_name,office,candidate,party_detailed,party_simplified,writein,candidatevotes,totalvotes,vote_pct,version,notes,electoral_votes,electoral_votes_won_state,electoral_votes_won_election
1976,54,WV,West Virginia,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,435864,750590,58.07,20210113,,6,6,297
1976,54,WV,West Virginia,US PRESIDENT,"FORD, GERALD",REPUBLICAN,REPUBLICAN,False,314726,750590,41.93,20210113,,6,0,241
1976,55,WI,Wisconsin,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,1040232,2101336,49.5,20210113,,11,11,297
1976,55,WI,Wisconsin,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,False,3814,2101336,0.18,20210113,,11,0,0
1976,55,WI,Wisconsin,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,OTHER,False,1691,2101336,0.08,20210113,,11,0,0
1976,55,WI,Wisconsin,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,OTHER,False,389,2101336,0.02,20210113,,11,0,0
1976,55,WI,Wisconsin,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,OTHER,False,8552,2101336,0.41,20210113,,11,0,0
1976,55,WI,Wisconsin,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,OTHER,False,34943,2101336,1.66,20210113,,11,0,0
1976,55,WI,Wisconsin,US PRESIDENT,OTHER,OTHER,OTHER,False,2430,2101336,0.12,20210113,,11,0,0
1976,55,WI,Wisconsin,US PRESIDENT,"ZEIDLER, FRANK",SOCIALIST,OTHER,False,4298,2101336,0.2,20210113,,11,0,0
1976,55,WI,Wisconsin,US PRESIDENT,"FORD, GERALD",REPUBLICAN,REPUBLICAN,False,1004987,2101336,47.83,20210113,,11,0,241
1976,56,WY,Wyoming,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,62239,156343,39.81,20210113,,3,0,297
1976,56,WY,Wyoming,US PRESIDENT,,OTHER,OTHER,True,1387,156343,0.89,20210113,,3,0,0
1976,56,WY,Wyoming,US PRESIDENT,"FORD, GERALD",REPUBLICAN,REPUBLICAN,False,92717,156343,59.3,20210113,,3,3,241
1980,01,AL,Alabama,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,636730,1341929,47.45,20210113,,9,0,90
1980,01,AL,Alabama,US PRESIDENT,"CLARK, EDWARD """"ED""""",LIBERTARIAN,LIBERTARIAN,False,13318,1341929,0.99,20210113,,9,0,0
1980,01,AL,Alabama,US PRESIDENT,"ANDERSON, JOHN B.",INDEPENDENT,OTHER,False,16481,1341929,1.23,20210113,,9,0,0
1980,01,AL,Alabama,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",STATESMAN,OTHER,False,1743,1341929,0.13,20210113,,9,0,0
1980,01,AL,Alabama,US PRESIDENT,"COMMONER, BARRY",CITIZENS,OTHER,False,517,1341929,0.04,20210113,,9,0,0
1980,01,AL,Alabama,US PRESIDENT,"DEBERRY, CLIFTON",SOCIALIST WORKERS,OTHER,False,1303,1341929,0.1,20210113,,9,0,0
1980,01,AL,Alabama,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,OTHER,False,1629,1341929,0.12,20210113,,9,0,0
1980,01,AL,Alabama,US PRESIDENT,"MCREYNOLDS, DAVID",SOCIALIST,OTHER,False,1006,1341929,0.07,20210113,,9,0,0
1980,01,AL,Alabama,US PRESIDENT,"RARICK, JOHN",CONSERVATIVE,OTHER,False,15010,1341929,1.12,20210113,,9,0,0
1980,01,AL,Alabama,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,REPUBLICAN,False,654192,1341929,48.75,20210113,,9,9,448
1980,02,AK,Alaska,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,41842,158445,26.41,20210113,,3,0,90
1980,02,AK,Alaska,US PRESIDENT,"CLARK, EDWARD """"ED""""",LIBERTARIAN,LIBERTARIAN,False,18479,158445,11.66,20210113,,3,0,0
1980,02,AK,Alaska,US PRESIDENT,,OTHER,OTHER,True,857,158445,0.54,20210113,,3,0,0
1980,02,AK,Alaska,US PRESIDENT,"ANDERSON, JOHN B.",INDEPENDENT,OTHER,False,11155,158445,7.04,20210113,,3,0,0
1980,02,AK,Alaska,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,REPUBLICAN,False,86112,158445,54.35,20210113,,3,3,448
1980,04,AZ,Arizona,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,246843,873945,28.24,20210113,,6,0,90
1980,04,AZ,Arizona,US PRESIDENT,"CLARK, EDWARD """"ED""""",LIBERTARIAN,LIBERTARIAN,False,18784,873945,2.15,20210113,,6,0,0
1980,04,AZ,Arizona,US PRESIDENT,"ANDERSON, JOHN B.",INDEPENDENT,OTHER,False,76952,873945,8.81,20210113,,6,0,0
1980,04,AZ,Arizona,US PRESIDENT,"COMMONER, BARRY",CITIZENS,OTHER,False,551,873945,0.06,20210113,,6,0,0
1980,04,AZ,Arizona,US PRESIDENT,"DEBERRY, CLIFTON",SOCIALIST WORKERS,OTHER,False,1100,873945,0.13,20210113,,6,0,0
1980,04,AZ,Arizona,US PRESIDENT,"GRISWOLD, DEIRDRE",WORKERS WORLD,OTHER,False,2,873945,0.0,20210113,,6,0,0
1980,04,AZ,Arizona,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,OTHER,False,25,873945,0.0,20210113,,6,0,0
1980,04,AZ,Arizona,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,REPUBLICAN,False,529688,873945,60.61,20210113,,6,6,448
1980,05,AR,Arkansas,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,398041,837582,47.52,20210113,,6,0,90
1980,05,AR,Arkansas,US PRESIDENT,"CLARK, EDWARD """"ED""""",LIBERTARIAN,LIBERTARIAN,False,8970,837582,1.07,20210113,,6,0,0
1980,05,AR,Arkansas,US PRESIDENT,"ANDERSON, JOHN B.",INDEPENDENT,OTHER,False,22468,837582,2.68,20210113,,6,0,0
1980,05,AR,Arkansas,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",STATESMAN,OTHER,False,1350,837582,0.16,20210113,,6,0,0
1980,05,AR,Arkansas,US PRESIDENT,"COMMONER, BARRY",CITIZENS,OTHER,False,2345,837582,0.28,20210113,,6,0,0
